Owner, Collateral, Debt
0x2178A91850D5103C2b4d6B3971952EcD22f19699, 3.311079399011400307, 5.023482458412256216
0xED47D5fB9180ec8f65848fCc89c06100C35074e0, 361.665774577976135429, 1691.801485823388233006
0x764F084fe7633949c3b0C26A5Df94014793a81D5, 2211.484858007422894695, 12582.074200723555171084
0xC4C93D09d45DF1cE52053fDc0bEFcC49b01884eA, 1.686747610462834637, 11.313546848590137689
0xBDaCEB4f3b4042C833aCD72ED185B17Ff73C5F25, 1.455577417086895578, 8.296290488832191854
0xa6f79C7686643B4F8E5D805CFAC1Bf40d56Cbb3c, 3.071620081893576666, 17.300193322878284326
0x9eF7d36C55DF1E3C47396F0394EC2111Bb81807e, 204.89750561427116766, 1271.084603604156067737
0xA5E8903251C49412E835EA341885fE56f80D2960, 12.489739438267776322, 84.132512434162043386
0xc336AaF0067Cdb7828e89dB0291dFA9aF89Cd757, 762.445397645915631227, 1702.565468211288996188
0xd1C4359A5d9A0696aEB0c406248796d876e82f00, 34.44676086516614181, 193.663354619106235164
0x0eC9eFC8C5305978Cb957c74b228D4949F5e9DD0, 57.561182092704333999, 0.0
0x4D48267E36FfFd8638c1cE5ba98CCf8091D98ca2, 22.650311759419319001, 135.14821379515767046
0x78768d0c41d6F41A1b176122eae24D51eC339FC9, 2.339667831777095686, 0.0
0x4E5b2447077fBbe3bD3d69BEE701344e9cA7A8Dc, 1004.634083899349553985, 4375.142076376427845058
0x649E5AF88ffFE121ca4EA5cdD8E055c7189fE427, 6.024967162146733706, 33.54972370206596506
0x08DacC9b5916575308EdFfb7BEd8FbaCc85AA534, 29.360461181053957207, 0.0
0x6a035A701C2a156E64a9c0FcD02054b4f587cBfe, 154.426528478779569844, 852.019236532339466837
0xC74401498312326cE31A23494eCbaC1449bd7235, 1.169006763754630594, 0.103496825250465367
0xd6c653291b7e158ec31DE22e71843E7E16ad7304, 0.209730903533753925, 0.144484707420992163
